Prscrbr_Geo_Desc,Brnd_Name,Opioid_Drug_Flag,Total_Claims,Total_Cost,Cost_Per_Claim,Claims_Per_Prescriber,Cost_Per_Patient,Cluster,Is_Suspicious
Connecticut,Lorbrena,N,83,1748949.92,21071.68578313253,7.545454545454546,158995.44727272727,3,1
Connecticut,Losartan Potassium,N,367101,3212261.71,8.75034856892245,54.63625539514809,34.35867999401018,0,1
Connecticut,Methadone Hcl,Y,5478,130975.99,23.909454180357795,14.155038759689923,188.99854256854258,1,1
Connecticut,Metoprolol Succinate,N,445807,5855530.06,13.134675005103103,64.17259248596517,53.10753015654193,0,1
Connecticut,Morphine Sulfate,Y,12225,302776.46,24.766990593047037,7.062391681109186,63.42196480938417,1,1
Connecticut,Morphine Sulfate Er,Y,18546,603142.12,32.52141270354794,15.017004048582995,238.96280507131536,1,1
Connecticut,Nucynta,Y,783,854697.83,1091.568109833972,7.386792452830188,7305.109658119658,1,1
Connecticut,Nucynta Er,Y,405,456628.81,1127.4785432098765,6.428571428571429,8456.089074074074,1,1
Connecticut,Ocrevus,N,68,2751775.0,40467.279411764706,4.857142857142857,68794.375,3,1
Connecticut,Ojjaara,N,126,3642466.88,28908.4673015873,6.0,158368.1252173913,3,1
Connecticut,Opsumit,N,545,7138860.58,13098.826752293578,41.92307692307692,91523.8535897436,3,1
Connecticut,Orenitram Er,N,179,1508274.08,8426.11217877095,25.571428571428573,125689.50666666667,3,1
Connecticut,Oxervate,N,273,9931989.35,36380.91336996337,6.658536585365853,139887.17394366197,3,1
Connecticut,Oxycodone Hcl,Y,163112,2198229.98,13.476813355240571,21.202651761341478,40.73738403661904,1,1
Connecticut,Oxycodone-Acetaminophen,Y,81109,1492294.45,18.39862962186687,16.12825611453569,62.475694967763545,1,1
Connecticut,Oxycontin,Y,12140,9078238.13,747.7955626029654,11.420507996237065,5811.932221510884,1,1
Connecticut,Oxymorphone Hcl Er,Y,289,198692.62,687.5177162629758,11.56,6209.144375,1,1
Connecticut,Ozempic,N,138165,184115521.72,1332.5771484818877,37.94699258445482,7105.963786954843,2,1
Connecticut,Panzyga,N,131,3015040.85,23015.579007633587,11.909090909090908,251253.40416666667,3,1
Connecticut,Percocet,Y,908,3145051.76,3463.713392070484,8.647619047619047,34185.3452173913,1,1
Connecticut,Piqray,N,91,2211581.59,24303.094395604396,6.5,138223.849375,3,1
Connecticut,Pomalyst,N,1342,30141774.1,22460.33837555887,13.555555555555555,149959.0751243781,3,1
Connecticut,Privigen,N,1183,11921356.76,10077.224649196956,22.75,140251.256,3,1
Connecticut,Revlimid,N,4481,79431885.29,17726.37475786655,29.287581699346404,118378.3685394933,3,1
Connecticut,Rezurock,N,365,9321292.73,25537.788301369863,36.5,245297.17710526317,3,1
Connecticut,Rosuvastatin Calcium,N,472888,5989907.76,12.666652061376055,75.40870674533568,46.7424735655146,0,1
Connecticut,Scemblix,N,113,2379310.11,21055.841681415928,4.913043478260869,113300.48142857142,3,1
Connecticut,Serostim,N,104,1939583.95,18649.84567307692,34.666666666666664,138541.7107142857,3,1
Connecticut,Spravato,N,5340,6863909.84,1285.3763745318352,121.36363636363636,32530.37838862559,0,1
Connecticut,Stelara,N,1849,47034290.74,25437.691043807463,8.6,129215.08445054946,3,1
Connecticut,Tagrisso,N,1511,25217187.39,16689.071733951027,16.97752808988764,119512.73644549763,3,1
Connecticut,Tasigna,N,285,4915701.13,17248.074140350876,7.3076923076923075,144579.445,3,1
Connecticut,Tibsovo,N,144,4678695.54,32490.94125,6.0,194945.6475,3,1
Connecticut,Tramadol Hcl,Y,128224,1047265.32,8.167467244821562,18.159467497521597,24.946173745265714,1,1
Connecticut,Trikafta,N,236,7192539.25,30476.86122881356,23.6,211545.27205882352,3,1
Connecticut,Tukysa,N,93,2272849.55,24439.242473118276,4.428571428571429,113642.4775,3,1
Connecticut,Tysabri,N,98,863330.55,8809.495408163266,32.666666666666664,71944.21250000001,3,1
Connecticut,Tyvaso Dpi,N,551,14070622.84,25536.52058076225,50.09090909090909,206920.92411764705,3,1
Connecticut,Uptravi,N,260,6472863.74,24895.62976923077,26.0,215762.12466666667,3,1
Connecticut,Vyndamax,N,2881,86657777.4,30079.061922943423,30.326315789473686,207812.41582733815,3,1
Connecticut,Vyndaqel,N,317,7904397.29,24935.007223974764,9.606060606060606,179645.39295454544,3,1
Connecticut,Vyvgart,N,69,4058273.13,58815.55260869565,6.9,270551.542,3,1
Connecticut,Welireg,N,122,2914823.46,23891.99557377049,8.714285714285714,121450.9775,3,1
Connecticut,Winrevair,N,114,1671271.33,14660.274824561404,22.8,75966.87863636365,3,1
Connecticut,Xospata,N,68,1572098.75,23119.09926470588,4.0,82742.03947368421,3,1
Connecticut,Xpovio,N,90,2421143.72,26901.596888888893,4.090909090909091,89671.98962962964,3,1
Connecticut,Xtampza Er,Y,6666,4574033.72,686.1736753675367,12.55367231638418,5031.940286028603,1,1
Connecticut,Xtandi,N,2820,37864162.34,13427.007921985816,22.38095238095238,94660.40585000001,3,1
Connecticut,Xywav,N,121,2187970.68,18082.40231404959,9.307692307692308,145864.712,3,1
Delaware,Abrysvo,N,8595,2364904.91,275.14891332169867,61.83453237410072,276.66178170332245,0,1
Delaware,Acetaminophen-Codeine,Y,6108,66312.03,10.856586444007858,7.17743830787309,19.077108745684694,1,1
Delaware,Amlodipine Besylate,N,169553,1344542.81,7.929926394696644,81.59432146294515,28.79353285077951,0,1
Delaware,Arexvy,N,12005,3257765.85,271.36741774260724,67.82485875706215,272.68484556792504,0,1
Delaware,Asa-Butalb-Caffeine-Codeine,Y,95,13739.86,144.6301052631579,5.0,981.4185714285715,1,1
Delaware,Atorvastatin Calcium,N,259805,3550278.55,13.665166374781085,124.2491630798661,50.450875360588874,0,1
Delaware,Belbuca,Y,1759,1435666.25,816.1832006822058,33.18867924528302,4417.434615384615,1,1
Delaware,Buprenorphine,Y,1705,378246.82,221.845642228739,25.833333333333332,950.3688944723618,1,1
Delaware,Butrans,Y,100,48117.45,481.17449999999997,4.545454545454546,2291.307142857143,1,1
Delaware,Cabometyx,N,144,3683260.73,25578.19951388889,6.857142857142857,131545.02607142858,3,1
Delaware,Epclusa,N,58,1527630.71,26338.46051724138,2.761904761904762,61105.2284,3,1
Delaware,Fentanyl,Y,2545,288355.75,113.30284872298624,12.119047619047619,871.1654078549849,1,1
Delaware,Gamunex-C,N,436,3537353.42,8113.195917431192,27.25,101067.24057142857,3,1
Delaware,Hydrocodone Bitartrate Er,Y,21,6414.38,305.44666666666666,2.3333333333333335,583.1254545454545,1,1
Delaware,Hydrocodone-Acetaminophen,Y,25427,461300.14,18.142137884925475,23.094459582198002,48.202731452455595,1,1
Delaware,Hydromorphone Er,Y,187,64477.28,344.7982887700535,6.925925925925926,1791.0355555555554,1,1
Delaware,Hydromorphone Hcl,Y,5170,73480.96,14.212951644100581,9.298561151079136,47.10317948717949,1,1
Delaware,Ibrance,N,419,6797107.11,16222.212673031026,16.76,130713.59826923077,3,1
Delaware,Imbruvica,N,319,5454086.6,17097.45015673981,13.869565217391305,147407.74594594594,3,1
Delaware,Levothyroxine Sodium,N,125824,1418881.8,11.27671827314344,76.3032140691328,46.93776836812333,0,1
Delaware,Lisinopril,N,113945,900997.07,7.907297994646539,62.91827719491993,29.166032306098664,0,1
Delaware,Losartan Potassium,N,112452,1271865.44,11.310296304200904,62.752232142857146,40.90388628031131,0,1
Delaware,Methadone Hcl,Y,1819,43174.21,23.735134689389774,14.436507936507937,176.22126530612243,1,1
Delaware,Metoprolol Succinate,N,110649,1832209.08,16.558749559417617,62.9044911881751,59.57047436355952,0,1
Delaware,Morphine Sulfate,Y,4065,100308.55,24.676150061500614,10.613577023498694,77.45833976833977,1,1
Delaware,Morphine Sulfate Er,Y,11142,336311.4,30.184114162627896,32.48396501457726,215.0328644501279,1,1
Delaware,Nucynta,Y,320,468984.27,1465.57584375,8.205128205128204,8227.794210526316,1,1
Delaware,Nucynta Er,Y,305,369834.82,1212.5731803278688,9.838709677419354,8600.80976744186,1,1
Delaware,Ocrevus,N,92,3562689.73,38724.88836956522,9.2,67220.56094339622,3,1
Delaware,Orgovyx,N,751,2481225.73,3303.8957789613846,44.1764705882353,18655.83255639098,2,1
Delaware,Oxervate,N,110,3664093.14,33309.93763636364,11.0,140926.65923076923,3,1
Delaware,Oxycodone Hcl,Y,51777,778154.39,15.02895861096626,28.606077348066297,50.40839476582238,1,1
Delaware,Oxycodone-Acetaminophen,Y,34716,871398.93,25.10078724507432,26.663594470046082,109.19786090225564,1,1
Delaware,Oxycontin,Y,3686,2977259.82,807.7210580575148,15.294605809128631,5617.471358490566,1,1
Delaware,Oxymorphone Hcl Er,Y,217,137537.47,633.8132258064517,7.482758620689655,4742.6713793103445,1,1
Delaware,Percocet,Y,135,600436.38,4447.676888888889,5.4,20014.546,1,1
Delaware,Pomalyst,N,321,6403254.08,19947.832024922118,8.916666666666666,128065.0816,3,1
Delaware,Rosuvastatin Calcium,N,128765,2921201.12,22.686297674057393,85.33134526176276,78.079841766231,0,1
Delaware,Shingrix,N,16354,3129642.66,191.36863519628227,63.142857142857146,257.118194216234,0,1
Delaware,Stelara,N,341,8744512.13,25643.730586510268,7.413043478260869,118169.08283783785,3,1
Delaware,Tasigna,N,150,2259151.83,15061.012200000001,11.538461538461538,205377.4390909091,3,1
Delaware,Tramadol Hcl,Y,33552,257525.22,7.675405937052933,20.248642124321062,21.608090283604632,1,1
Delaware,Tramadol Hcl Er,Y,3168,202277.61,63.850255681818176,21.698630136986303,402.14236580516894,1,1
Delaware,Vyndamax,N,113,3563547.66,31535.82,10.272727272727273,197974.87,3,1
Delaware,Xtampza Er,Y,3097,1934570.81,624.6596092993219,22.94074074074074,3793.276098039216,1,1
Delaware,Xtandi,N,946,13948812.18,14745.044587737842,22.0,97544.14111888112,3,1
Delaware,Zejula,N,88,1778436.05,20209.50056818182,6.769230769230769,127031.14642857143,3,1
District of Columbia,Adempas,N,315,4311687.44,13687.896634920637,45.0,107792.18600000002,3,1
District of Columbia,Apokyn,N,48,1369150.2,28523.962499999998,8.0,114095.84999999999,3,1
District of Columbia,Belbuca,Y,133,74824.17,562.5877443609022,6.333333333333333,1740.096976744186,1,1
District of Columbia,Biktarvy,N,9534,39979631.77,4193.37442521502,33.68904593639576,30127.831024868126,2,1
District of Columbia,Buprenorphine,Y,317,69938.66,220.6266876971609,6.096153846153846,635.806,1,1
District of Columbia,Cabometyx,N,150,3675563.06,24503.753733333335,10.0,105016.08742857142,3,1
